"number","ADM2_PCODE","Population","ADM2_EN","ADM2_KK","ADM2_RUISO_3166_2","n","Area"
"150"," KZ551000","368859"," Pavlodar"," Павлодар"," Павлодар"," KZ-PAV1","633"
"151"," KZ551600","72511"," Aksu"," Ақсу"," Аксу"," KZ-PAV1","8014"
"152"," KZ552200","145002"," Ekibastuz"," Екібастұз"," Экибастуз"," KZ-PAV1","18876"
"153"," KZ553200","12607"," Aktogay"," Ақтоғай"," Актогайский"," KZ-PAV1","9800"
"154"," KZ553600","23348"," Bayanaul"," Баянауыл"," Баянаульский"," KZ-PAV1","18500"
"155"," KZ554200","14922"," Zhelezin"," Железин"," Железинский"," KZ-PAV1","7700"
"156"," KZ554600","16567"," Irtysh"," Ертіс"," Иртышский"," KZ-PAV1","10200"
"157"," KZ554800","19572"," Terenkol"," Тереңкөл"," Теренкол"," KZ-PAV1","6800"
"158"," KZ555200","12130"," Akkuly"," Аққулы"," Аккулы"," KZ-PAV1","8100"
"159"," KZ555600","10370"," May"," Май"," Майский"," KZ-PAV1","18100"
"160"," KZ556000","26352"," Pavlodar"," Павлодар"," Павлодарский"," KZ-PAV1","6100"
"161"," KZ556400","12473"," Uspen"," Успен"," Успенский"," KZ-PAV1","5500"
"162"," KZ556800","18771"," Sharbakty"," Шарбақты"," Щербактинский"," KZ-PAV1","6900"
"163"," KZ591000","221995"," Petropavlovsk"," Петропавл"," Петропавловск"," KZ-SEV1","221"
"164"," KZ593200","31714"," Aiyrtau"," Айыртау"," Айыртауский"," KZ-SEV1","9620"
"165"," KZ593400","13099"," Akzhar"," Ақжар"," Акжарский"," KZ-SEV1","8040"
"166"," KZ593600","26659"," MagzhanZhumabaev"," МағжанЖұмабаев"," МагжанЖумабаев"," KZ-SEV1","7810"
"167"," KZ594200","20831"," Esil"," Есіл"," Есильский"," KZ-SEV1","5140"
"168"," KZ594600","17662"," Zhambyl"," Жамбыл"," Жамбылский"," KZ-SEV1","7470"
"169"," KZ595000","46471"," Kyzylzhar"," Қызылжар"," Кызылжарский"," KZ-SEV1","6150"
"170"," KZ595200","17174"," Mamlyut"," Мамлют"," Мамлютский"," KZ-SEV1","4100"
"171"," KZ595600","17574"," Shalakyn"," Шалақын"," Шалакын"," KZ-SEV1","4841"
"172"," KZ595800","17664"," Akkayin"," Аққайың"," Аккайынский"," KZ-SEV1","4710"
"173"," KZ596000","39212"," Taiynsha"," Тайынша"," Тайыншинский"," KZ-SEV1","11430"
"174"," KZ596200","9608"," Timiryazev"," Тимирязев"," Тимирязевский"," KZ-SEV1","4510"
"175"," KZ596400","12773"," Ualikhanov"," Уәлиханов"," Уалихановский"," KZ-SEV1","12876"
"176"," KZ596600","35044"," GabitMusirepov"," ҒабитМүсірепов"," ГабитМусрепов"," KZ-SEV1","11090"
"177"," KZ611000","230227"," Turkestan"," Түркістан"," Туркестан"," KZ-YUZ1","196"
"178"," KZ611600","79046"," Arys"," Арыс"," Арысь"," KZ-YUZ1","7654"
"179"," KZ612000","99769"," Kentau"," Кентау"," Кентау"," KZ-YUZ1","7745"
"180"," KZ613600","48591"," Baydibek"," Бәйдібек"," Байдибек"," KZ-YUZ1","7233"
"181"," KZ613800","187099"," Zhetysai"," Жетісай"," Жетисайский"," KZ-YUZ1","1046"
"182"," KZ613900","133756"," Keles"," Келес"," Келесский"," KZ-YUZ1","3451"
"183"," KZ614000","117845"," Kazygurt"," Қазығұрт"," Казыгуртский"," KZ-YUZ1","4031"
"184"," KZ614400","129554"," Maktaaral"," Мақтаарал"," Мактааральский"," KZ-YUZ1","808"
